Long Station Name,Collection Date,EC,Sacramento X2,Location,WYT,Ca
Grant Ln Can @ Tracy Rd Bdg,10/24/1990,1030,94.04183083,SouthDelta,C,51
Grant Line/Fabian/Bell Canals nr Old R.,10/24/1990,703,94.04183083,SouthDelta,C,21
Clifton Court Intake,1/31/1991,731,94.0793962,OMR,C,24
Old River South of Rock Slough (St 5A),2/1/1991,881,94.15033685,OMR,C,22
Rock Slough @ Old River,10/20/1992,811,94.16017229,OMR,AN,19
Old River North of Rock Slough (St 4b),10/20/1992,766,94.16017229,OMR,AN,19
Grant Line/Fabian/Bell Canals nr Old R.,10/20/1992,795,94.16017229,SouthDelta,AN,29
Middle River @ Union Point - P10A,5/4/2015,568,94.17154572,OMR,C,26
Middle River @ Union Point - P10A,5/4/2015,568,94.17154572,SouthDelta,C,26
Rock Slough @ Old River,2/25/1991,1080,94.18554964,OMR,C,23
Old River North of Rock Slough (St 4b),2/25/1991,1080,94.18554964,OMR,C,23
Grant Line/Fabian/Bell Canals nr Old R.,2/25/1991,840,94.18554964,SouthDelta,C,27
Old River South of Rock Slough (St 5A),12/3/1987,1000,94.23731184,OMR,C,26
Old River North of Rock Slough (St 4b),10/11/1990,836,94.23950241,OMR,C,19
